Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
14.36,95.4104,925.6567
14.38,95.5437,925.752
14.4,95.677,925.8475
14.42,95.8104,925.8945
14.44,95.9437,925.992
14.46,96.0771,926.0815
14.48,96.2104,926.1771
14.5,96.3438,926.2857
14.52,96.477,926.3989
14.54,96.6103,926.5015
14.56,96.7436,926.5934
14.58,96.8771,926.7535
14.6,97.0105,926.821
14.62,97.1438,926.9417
14.64,97.2771,927.0197
14.66,97.4104,927.168
14.68,97.5438,927.2451
14.7,97.6771,927.2579
14.72,97.8103,927.4243
14.74,97.9437,927.5827
14.76,98.0771,927.7534
14.78,98.2104,927.7874
14.8,98.3437,927.9368
14.82,98.477,928.0027
14.84,98.6104,928.1373
14.86,98.7438,928.2067
14.88,98.8771,928.3186
14.9,99.0104,928.4636
14.92,99.1437,928.5547
14.94,99.277,928.7274
14.96,99.4104,928.7912
14.98,99.5437,928.8927
15,99.677,928.9285
15.02,99.8104,929.0886
15.04,99.9438,929.1759
15.06,100.0771,929.3387
15.08,100.2103,929.3454
15.1,100.3437,929.4246
15.12,100.4771,929.5163
15.14,100.6104,929.5809
15.16,100.7437,929.7786
15.18,100.877,929.7868
15.2,101.0104,929.9026
15.22,101.1438,930.0772
15.24,101.2771,930.2202
15.26,101.4104,930.2281
15.28,101.5438,930.317
15.3,101.6772,930.3833
15.32,101.8105,930.5405
15.34,101.9436,930.6343
15.36,102.0768,930.8319
15.38,102.2103,930.995
15.4,102.3438,930.9687
15.42,102.4772,931.0461
15.44,102.6104,931.1635
15.46,102.7437,931.3139
15.48,102.8771,931.3456
15.5,103.0104,931.4478
15.52,103.1436,931.5327
15.54,103.277,931.6369
15.56,103.4104,931.6923
15.58,103.5437,931.8776
15.6,103.677,932.0138
15.62,103.8103,932.1083
15.64,103.9436,932.2013
15.66,104.0771,932.2721
15.68,104.2104,932.4449
15.7,104.3438,932.4562
15.72,104.4771,932.6085
15.74,104.6104,932.637
15.76,104.7438,932.7184
15.78,104.8771,932.7222
15.8,105.0103,932.814
15.82,105.1437,932.9285
15.84,105.2771,933.023
15.86,105.4104,933.142
15.88,105.5437,933.1463
15.9,105.6771,933.2633
15.92,105.8105,933.266
15.94,105.9438,933.4041
15.96,106.0771,933.4711
15.98,106.2103,933.6283
16,106.3436,933.6623
16.02,106.477,933.7119
16.04,106.6104,933.806
16.06,106.7437,933.8179
16.08,106.8771,933.8799
16.1,107.0105,934.0016
16.12,107.1438,934.0915
16.14,107.2771,934.1426
16.16,107.4103,934.3237
16.18,107.5437,934.336
16.2,107.6771,934.4746
16.22,107.8104,934.4517
16.24,107.9437,934.511
16.26,108.077,934.6514
16.28,108.2103,934.7914
16.3,108.3437,934.9105
16.32,108.477,935.0043
16.34,108.6103,935.1606
16.36,108.7437,935.2252
16.38,108.877,935.3573
16.4,109.0103,935.356
16.42,109.1436,935.4617
16.44,109.277,935.5318
16.46,109.4105,935.6854
16.48,109.5438,935.7731
16.5,109.6771,935.8262
16.52,109.8103,935.9055
16.54,109.9437,935.9138
16.56,110.0771,936.0388
16.58,110.2105,936.1208
16.6,110.3437,936.262
16.62,110.4769,936.3253
16.64,110.6103,936.3958
16.66,110.7436,936.3734
16.68,110.877,936.4569
16.7,111.0104,936.5181
16.72,111.1438,936.652
16.74,111.2772,936.7552
16.76,111.4105,936.7861
16.78,111.5436,936.8605
16.8,111.6769,936.9019
16.82,111.8103,937.0287
16.84,111.9437,937.0647
16.86,112.0771,937.1224
16.88,112.2104,937.1828
16.9,112.3437,937.257
16.92,112.4771,937.2404
16.94,112.6104,937.2933
16.96,112.7437,937.2776
16.98,112.8771,937.406
17,113.0105,937.5804
17.02,113.1437,937.582
17.04,113.277,937.6664
17.06,113.4102,937.6678
17.08,113.5436,937.8073
17.1,113.677,937.8525
17.12,113.8104,937.9895
17.14,113.9437,938.0305
17.16,114.0771,938.1042
17.18,114.2105,938.1888
17.2,114.3438,938.2696
17.22,114.477,938.3448
17.24,114.6103,938.3737
17.26,114.7437,938.4976
17.28,114.8771,938.4886
17.3,115.0104,938.5958
17.32,115.1437,938.5733
17.34,115.277,938.6696
17.36,115.4104,938.6612
17.38,115.5437,938.8044
17.4,115.677,938.9169
17.42,115.8104,938.9698
17.44,115.9437,939.0558
17.46,116.0771,939.0711
17.48,116.2104,939.16
17.5,116.3437,939.1631
17.52,116.477,939.3054
17.54,116.6105,939.3942
17.56,116.7438,939.5379
17.58,116.8771,939.5937
17.6,117.0104,939.7037
17.62,117.1437,939.7594
17.64,117.2771,939.8177
17.66,117.4104,939.9046
17.68,117.5437,939.9904
17.7,117.6771,940.1269
17.72,117.8104,940.1461
17.74,117.9437,940.3281
17.76,118.077,940.3684
17.78,118.2103,940.5016
17.8,118.3437,940.6064
17.82,118.4771,940.751
17.84,118.6105,940.7932
17.86,118.7437,940.8757
17.88,118.8769,940.9926
17.9,119.0103,940.9572
17.92,119.1436,941.0253
17.94,119.277,941.0538
17.96,119.4104,941.171
17.98,119.5438,941.246
18,119.6771,941.3651
18.02,119.8104,941.4196
18.04,119.9436,941.5182
18.06,120.077,941.4744
18.08,120.2104,941.5237
18.1,120.3437,941.6315
18.12,120.477,941.7035
18.14,120.6104,941.7109
18.16,120.7437,941.7053
18.18,120.877,941.8524
18.2,121.0104,941.8456
18.22,121.1437,941.9731
18.24,121.2771,942.0019
18.26,121.4105,942.1251
18.28,121.5437,942.1868
18.3,121.677,942.258
18.32,121.8103,942.3052
18.34,121.9437,942.3704
18.36,122.0771,942.443
18.38,122.2104,942.4972
18.4,122.3437,942.6587
18.42,122.4771,942.6635
18.44,122.6105,942.7617
18.46,122.7437,942.7839
18.48,122.8771,942.9605
18.5,123.0104,943.0504
18.52,123.1437,943.2177
18.54,123.277,943.2964
18.56,123.4103,943.3035
18.58,123.5436,943.4009
18.6,123.6771,943.4898
18.62,123.8105,943.6497
18.64,123.9437,943.7411
18.66,124.077,943.84
18.68,124.2103,943.8743
18.7,124.3437,943.9672
18.72,124.4771,943.9846
18.74,124.6104,944.1921
18.76,124.7438,944.2453
18.78,124.8771,944.2894
18.8,125.0104,944.307
18.82,125.1436,944.3541
18.84,125.2769,944.4678
18.86,125.4103,944.4462
18.88,125.5437,944.5507
18.9,125.6771,944.6122
18.92,125.8104,944.8055
18.94,125.9437,944.8618
18.96,126.0771,945.0468
18.98,126.2104,945.033
19,126.3437,945.148
19.02,126.4771,945.2015
19.04,126.6104,945.3138
19.06,126.7438,945.4161
19.08,126.8771,945.4786
19.1,127.0104,945.6488
19.12,127.1438,945.6549
19.14,127.2772,945.7837
19.16,127.4103,945.8055
19.18,127.5435,945.9279
19.2,127.6769,946.0361
19.22,127.8104,946.1414
19.24,127.9437,946.2126
19.26,128.0771,946.2823
19.28,128.2104,946.3066
19.3,128.3438,946.4142
19.32,128.477,946.6096
19.34,128.6103,946.7105
19.36,128.7435,946.8729
19.38,128.8769,946.8667
19.4,129.0104,946.9818
19.42,129.1438,947.0156
19.44,129.2771,947.1955
19.46,129.4104,947.2229
19.48,129.5437,947.391
19.5,129.6771,947.5067
19.52,129.8104,947.5119
19.54,129.9437,947.5957
19.56,130.077,947.6772
19.58,130.2104,947.8148
19.6,130.3437,947.8965
19.62,130.477,948.0363
19.64,130.6103,948.077
19.66,130.7437,948.2114
