Alpha	Beta
0.000123772	-0.000188261
0.000267545	-0.000289284
0.000399354	-0.000450923
0.000501739	-0.000374897
0.000557525	0.000103217
0.000552327	0.000776859
0.000477923	0.001186
0.000334182	0.00102352
0.00012984	0.000444961
-0.000116224	-5.21E-05
-0.00037578	-9.53E-05
-0.000615789	0.000193164
-0.000803332	0.000294605
-0.000909918	-0.000205056
-0.000916316	-0.00117218
-0.000816743	-0.00196304
-0.000619942	-0.00193
-0.000348795	-0.000958028
-3.86E-05	0.000420938
0.000268337	0.00141986
0.000529541	0.00157663
0.000707842	0.00106384
0.000776951	0.000480529
0.000726911	0.000311846
0.000565717	0.000538655
0.000317538	0.000738876
1.95E-05	0.000549507
-0.000284367	6.54E-06
-0.000549718	-0.000573102
-0.000738167	-0.000976674
-0.000822419	-0.00125516
-0.00079122	-0.00148136
-0.000650868	-0.00147874
-0.000423234	-0.000945979
-0.000142448	0.000123953
0.000150572	0.00125566
0.000415817	0.00182522
0.000620209	0.00159272
0.000741018	0.00087021
0.000769094	0.000185856
0.000710309	-0.000149893
0.000583221	-0.000165842
0.000415574	-6.44E-05
0.000239797	-4.28E-05
8.64E-05	-0.000219562
-2.17E-05	-0.000583793
-7.17E-05	-0.000942831
-6.23E-05	-0.000997335
-3.87E-06	-0.000593131
8.46E-05	7.39E-05
0.000180566	0.000584967
0.000260954	0.000695775
0.000306534	0.000574862
0.000306185	0.000584176
0.000258555	0.000826518
0.000171739	0.000973965
6.20E-05	0.000602756
-5.06E-05	-0.000303098
-0.000146933	-0.00123433
-0.000211703	-0.00158083
-0.000235768	-0.00117105
-0.000219015	-0.000385163
-0.000170704	0.000236863
-0.000107088	0.000468234
-4.87E-05	0.000492012
-1.66E-05	0.000588576
-2.76E-05	0.000791876
-8.98E-05	0.000874187
-0.000201446	0.000629906
-0.000349531	0.000125676
-0.000511028	-0.000331714
-0.000657269	-0.000457857
-0.000758281	-0.000240099
-0.000786224	3.41E-05
-0.000720367	-5.14E-06
-0.000551695	-0.000505046
-0.000284663	-0.00121939
6.25E-05	-0.00161769
0.000458856	-0.00124519
0.000864395	-0.000103324
0.00123548	0.00125935
0.00152902	0.00207557
0.00170785	0.00189573
0.00174627	0.000925188
0.00163308	-0.00011545
0.00137316	-0.000526337
0.00098877	-0.00015255
0.000517768	0.000529003
8.46E-06	0.000833631
-0.000485613	0.000441563
-0.000911258	-0.000368916
-0.00122284	-0.00101359
-0.00138824	-0.00113477
-0.0013925	-0.000873856
-0.00124027	-0.000651836
-0.000955565	-0.000716192
-0.000577387	-0.000908208
-0.00015413	-0.000834829
0.000262124	-0.000234846
0.000622764	0.000791587
0.000888947	0.00183608
0.00103497	0.00242011
0.00105063	0.00224324
0.000942144	0.0013355
0.000729376	5.84E-05
0.000441793	-0.00107663
0.000114897	-0.00169183
-0.000214491	-0.0017197
-0.000513228	-0.00133377
-0.000754131	-0.000734544
-0.000916595	-3.00E-05
-0.0009881	0.000689482
-0.000964563	0.00122948
-0.000849199	0.00132999
-0.000652659	0.000861151
-0.000392788	-4.04E-05
-9.24E-05	-0.0010364
0.000222127	-0.00175526
0.000521462	-0.00191007
0.000776091	-0.00135536
0.000959445	-0.000162086
0.00105023	0.00131082
0.00103506	0.00248608
0.000911451	0.00283672
0.000688558	0.00219431
0.00038656	0.000848124
3.63E-05	-0.000634747
-0.000323989	-0.00170414
-0.000654355	-0.00205095
-0.00091795	-0.00169886
-0.00108485	-0.000957546
-0.00113658	-0.000236638
-0.0010682	0.000198026
-0.000887531	0.000347036
-0.000614266	0.000366691
-0.000278037	0.000348517
8.62E-05	0.000254543
0.000442493	8.11E-05
0.000757195	-9.48E-06
0.00100156	0.00015404
0.00115446	0.000466066
0.00120294	0.000555692
0.00114311	0.000198211
0.000981481	-0.000323958
0.000734134	-0.000413658
0.000425109	0.000201362
8.58E-05	0.00107275
-0.000247559	0.00138511
-0.000538212	0.000739389
-0.000752801	-0.000457808
-0.000865069	-0.00139514
-0.000860875	-0.00159974
-0.000741035	-0.00126186
-0.000521677	-0.000882215
-0.000233374	-0.000700535
8.23E-05	-0.000518973
0.000379908	-2.95E-05
0.000616799	0.000787195
0.000758575	0.00161677
0.000784573	0.00209619
0.000692359	0.00207648
0.000497351	0.00161877
0.000229585	0.000815659
-7.01E-05	-0.000288533
-0.000356542	-0.00156236
-0.00058746	-0.00262701
-0.000729361	-0.00294229
-0.000762321	-0.00216587
-0.000683212	-0.000508822
-0.000505156	0.00125755
-0.000254297	0.00223798
3.40E-05	0.00200478
0.000319911	0.000880337
0.000565521	-0.000327927
0.000739295	-0.000920294
0.000819205	-0.000743771
0.000796432	-0.000160586
0.000676205	0.000352731
0.000474762	0.000576965
0.000216514	0.000591128
-6.87E-05	0.000548582
-0.000350158	0.000475905
-0.0005997	0.000272764
-0.000793999	-0.000143785
-0.000916946	-0.000713125
-0.000961553	-0.00122669
-0.000929192	-0.00143187
-0.000828214	-0.00116766
-0.000672817	-0.00046505
-0.000480447	0.000436048
-0.000269656	0.00118612
-5.92E-05	0.00150201
0.000134218	0.00130397
0.000298446	0.000723987
0.000426582	3.32E-06
0.000516007	-0.000630844
0.00056887	-0.00102938
0.000591227	-0.00110746
0.00059057	-0.000812978
0.000575013	-0.000156605
0.000552913	0.000697556
0.000530751	0.00138632
0.000511706	0.00147398
0.000495847	0.000756624
0.000479985	-0.000470507
0.000458107	-0.00148951
0.000423779	-0.00163974
0.000371777	-0.0008386
0.000297983	0.000341108
0.000200793	0.00113913
8.28E-05	0.00120456
-4.98E-05	0.000780945
-0.000188331	0.000350434
-0.000320509	0.000143871
-0.000432369	1.27E-05
-0.000510979	-0.000275412
-0.000546121	-0.000699704
-0.000531633	-0.000975687
-0.000467149	-0.000854212
-0.000358222	-0.000392271
-0.000215462	9.11E-05
-5.41E-05	0.000319525
0.000107842	0.000306561
0.000252895	0.000303829
0.000366439	0.000516537
0.000437856	0.000862442
0.000462648	0.00100179
0.000443218	0.000630805
0.000387107	-0.000204008
0.000305769	-0.00105709
0.000213112	-0.00137592
0.000122593	-0.000924063
4.49E-05	6.42E-06
-1.30E-05	0.000792762
-4.85E-05	0.00095268
-6.40E-05	0.000496856
-6.55E-05	-0.000138883
-6.08E-05	-0.000495512
-5.90E-05	-0.000444523
-6.75E-05	-0.000191804
-9.07E-05	1.22E-05
-0.000129916	0.000119188
-0.000183007	0.00023789
-0.000243439	0.000406825
-0.000301998	0.000496649
-0.000349595	0.00036067
-0.000377807	2.89E-05
-0.000379579	-0.000305402
-0.000351188	-0.000491254
-0.000292445	-0.000559108
-0.000205824	-0.000610311
-9.70E-05	-0.00060243
2.56E-05	-0.00033933
0.000152489	0.000269148
0.000274496	0.000973843
0.000382781	0.00129121
0.000470255	0.000903063
0.000532105	-1.70E-05
0.000564771	-0.000877795
0.000565995	-0.00111013
0.000535354	-0.000603888
0.000473309	0.000216525
0.000381322	0.000728575
0.000263546	0.000596274
0.000126583	3.36E-05
-2.15E-05	-0.000379566
-0.000170338	-0.000211648
-0.000307228	0.000409068
-0.000418763	0.000877534
-0.000418763	0.000877534
